Library,month,issues
Jesmond,2009-11,4517
Jesmond,2009-12,4521
Jesmond,2010-01,5345
Jesmond,2010-02,4520
Jesmond,2010-03,4660
Jesmond,2010-04,4532
Jesmond,2010-05,4643
Jesmond,2010-06,4617
Jesmond,2010-07,5007
Jesmond,2010-08,4662
Jesmond,2010-09,4746
Jesmond,2010-10,5073
Jesmond,2010-11,4335
Jesmond,2010-12,3148
Jesmond,2011-01,4265
Jesmond,2011-02,3772
Jesmond,2011-03,1857
Jesmond,2011-04,0
Jesmond,2011-05,9
Jesmond,2011-06,2364
Jesmond,2011-07,4450
Jesmond,2011-08,4316
Jesmond,2011-09,4378
Jesmond,2011-10,4259
Jesmond,2011-11,3999
Jesmond,2011-12,3146
Jesmond,2012-01,4242
Jesmond,2012-02,3756
Jesmond,2012-03,4437
Jesmond,2012-04,3993
Jesmond,2012-05,3946
Jesmond,2012-06,3869
Jesmond,2012-07,4333
Jesmond,2012-08,4222
Jesmond,2012-09,3763
Jesmond,2012-10,3624
Jesmond,2012-11,3793
Jesmond,2012-12,2424
Jesmond,2013-01,3657
Jesmond,2013-02,3282
Jesmond,2013-03,3186
Jesmond,2013-04,2957
Jesmond,2013-05,3308
Jesmond,2013-06,3168
Jesmond,2013-07,435
Jesmond,2013-08,201
Jesmond,2013-11,1
Kenton,2008-04,4523
Kenton,2008-05,3995
Kenton,2008-06,4095
Kenton,2008-07,4440
Kenton,2008-08,4906
Kenton,2008-09,4317
Kenton,2008-10,4548
Kenton,2008-11,3998
Kenton,2008-12,3151
Kenton,2009-01,3997
