station,station name,station name english,on_line
tokyo-metro-大手町駅,大手町駅,Ōtemachi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Z
tokyo-metro-三越前駅,三越前駅,Mitsukoshimae,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Z
tokyo-metro-水天宮前駅,水天宮前駅,Suitengūmae,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Z
tokyo-metro-清澄白河駅,清澄白河駅,Kiyosumi-shirakawa,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Z
tokyo-metro-住吉駅,住吉駅,Sumiyoshi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Z
tokyo-metro-錦糸町駅,錦糸町駅,Kinshichō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Z
tokyo-metro-押上〈スカイツリー前〉駅,押上〈スカイツリー前〉駅,Oshiage,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Z
tokyo-metro-目黒駅,目黒駅,Meguro,http://datadock.io/kal/data/id/resource/line/tokyo-metro-N
tokyo-metro-白金台駅,白金台駅,Shirokanedai,http://datadock.io/kal/data/id/resource/line/tokyo-metro-N
tokyo-metro-白金高輪駅,白金高輪駅,Shirokane-Takanawa,http://datadock.io/kal/data/id/resource/line/tokyo-metro-N
tokyo-metro-麻布十番駅,麻布十番駅,Azabu-Jūban,http://datadock.io/kal/data/id/resource/line/tokyo-metro-N
tokyo-metro-六本木一丁目駅,六本木一丁目駅,Roppongi-Itchōme,http://datadock.io/kal/data/id/resource/line/tokyo-metro-N
tokyo-metro-溜池山王駅,溜池山王駅,Tameike-Sannō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-N
tokyo-metro-永田町駅,永田町駅,Nagatachō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-N
tokyo-metro-四ツ谷駅,四ツ谷駅,Yotsuya,http://datadock.io/kal/data/id/resource/line/tokyo-metro-N
tokyo-metro-市ケ谷駅,市ケ谷駅,Ichigaya,http://datadock.io/kal/data/id/resource/line/tokyo-metro-N
tokyo-metro-飯田橋駅,飯田橋駅,Iidabashi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-N
tokyo-metro-後楽園駅,後楽園駅,Kōrakuen,http://datadock.io/kal/data/id/resource/line/tokyo-metro-N
tokyo-metro-東大前駅,東大前駅,Tōdaimae,http://datadock.io/kal/data/id/resource/line/tokyo-metro-N
tokyo-metro-本駒込駅,本駒込駅,Hon-Komagome,http://datadock.io/kal/data/id/resource/line/tokyo-metro-N
tokyo-metro-駒込駅,駒込駅,Komagome,http://datadock.io/kal/data/id/resource/line/tokyo-metro-N
tokyo-metro-西ケ原駅,西ケ原駅,Nishigahara,http://datadock.io/kal/data/id/resource/line/tokyo-metro-N
